Age,M,F
0-4,59504265,55160391
5 9,62466007,57274750
10 14,65911757,60020822
15-19,67199759,61048751
20-24,67982582,61645151
25-29,64763212,58856179
30-34,61296086,56475213
35-39,57104699,52815123
40-44,50308226,46820957
45-49,43441588,41153459
50-54,37281135,36015161
55-59,31457519,30831921
60-64,25884769,25809183
65-69,20034387,20620793
70-74,13483549,14502303
75-79,7352820,8590918
80-84,3952013,5030400
85-89,1781897,2512342
90-94,557610,821604
95-99,108364,163177
100+,11016,17727
